Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
GTT,"GTT Communications, Inc.",7.35,414257649.75,,,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/gtt,
GSH,Guangshen Railway Company Limited,15.64,2215730373.6,,,Transportation,Railroads,https://old.nasdaq.com/symbol/gsh,
GES,"Guess?, Inc.",17.31,1135749934.29,,1996.0,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/ges,
GGM,Guggenheim Credit Allocation Fund,20.24,153647325.04,,2013.0,,,https://old.nasdaq.com/symbol/ggm,
GPM,Guggenheim Enhanced Equity Income Fund,7.6,366465775.6,,,,,https://old.nasdaq.com/symbol/gpm,
GOF,Guggenheim Strategic Opportunities Fund,19.27,711853956.42,,,,,https://old.nasdaq.com/symbol/gof,
GBAB,Guggenheim Taxable Municipal Managed Duration Trst,24.82,432509249.52,,2010.0,,,https://old.nasdaq.com/symbol/gbab,
GWRE,"Guidewire Software, Inc.",106.9,8781120159.7,,2012.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/gwre,
HRB,"H&R Block, Inc.",23.56,4728964472.24,,,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/hrb,
FUL,H. B. Fuller Company,46.15,2352796317.3,,,Basic Industries,Home Furnishings,https://old.nasdaq.com/symbol/ful,
HAE,Haemonetics Corporation,124.66,6328972617.5,,1991.0,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/hae,
HAL,Halliburton Company,18.36,16082116311.96,,,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/hal,
HBB,Hamilton Beach Brands Holding Company,15.52,212297862.72,,2017.0,Consumer Durables,Home Furnishings,https://old.nasdaq.com/symbol/hbb,
HBI,Hanesbrands Inc.,14.84,5365302097.12,,,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/hbi,
HNGR,"Hanger, Inc.",19.5,727402435.5,,2018.0,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/hngr,
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",28.67,1883310166.76,,2013.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/hasi,
HOG,"Harley-Davidson, Inc.",34.11,5346117945.9,,,Consumer Non-Durables,Motor Vehicles,https://old.nasdaq.com/symbol/hog,
HMY,Harmony Gold Mining Company Limited,3.05,1646371132.7,,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/hmy,
HSC,Harsco Corporation,17.17,1378386000.14,,,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/hsc,
HHS,"Harte-Hanks, Inc.",2.96,18587740.32,,1993.0,Technology,Advertising,https://old.nasdaq.com/symbol/hhs,
HGH,"Hartford Financial Services Group, Inc. (The)",29.21,0.0,,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/hgh,
HIG,"Hartford Financial Services Group, Inc. (The)",58.94,21311607362.36,,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/hig,
HIG^G,"Hartford Financial Services Group, Inc. (The)",27.9,0.0,,,,,https://old.nasdaq.com/symbol/hig^g,
HVT,"Haverty Furniture Companies, Inc.",19.98,393681684.24,,,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/hvt,
HVT.A,"Haverty Furniture Companies, Inc.",,0.0,,,,,https://old.nasdaq.com/symbol/hvt.a,
HE,"Hawaiian Electric Industries, Inc.",45.23,4928829069.72,,,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/he,
HCHC,"HC2 Holdings, Inc.",2.11,96744732.24,,,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/hchc,
HCA,"HCA Healthcare, Inc.",118.18,40297347304.0,,2011.0,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/hca,
